100 1000
0 69 42
0 80 71
0 10 67
0 93 96
0 99 92
0 39 16
0 68 18
0 74 68
0 12 15
0 55 93
1 74 20
1 19 99
1 38 86
1 57 35
1 10 19
1 87 51
1 39 17
1 90 77
1 63 42
1 21 25
2 14 95
2 19 66
2 81 2
2 64 84
2 47 58
2 94 51
2 59 3
2 16 22
2 47 95
2 68 28
3 12 33
3 54 81
3 73 97
3 95 72
3 71 10
3 21 38
3 56 96
3 37 6
3 72 76
3 98 41
4 79 94
4 25 89
4 8 84
4 68 97
4 82 65
4 33 58
4 20 12
4 2 86
4 5 48
4 84 97
5 60 44
5 49 88
5 79 49
5 42 48
5 64 57
5 98 33
5 57 91
5 88 26
5 51 97
5 72 84
6 80 9
6 3 46
6 12 58
6 4 49
6 40 28
6 41 28
6 90 12
6 77 45
6 25 56
6 99 73
7 40 86
7 86 97
7 90 80
7 15 30
7 36 59
7 52 100
7 68 47
7 81 79
7 84 71
7 28 80
8 9 54
8 71 4
8 57 53
8 12 7
8 32 46
8 73 96
8 52 47
8 38 23
8 7 80
8 77 73
9 86 37
9 81 59
9 12 95
9 14 7
9 5 82
9 10 95
9 34 73
9 57 65
9 30 63
9 84 56
10 60 53
10 18 13
10 63 57
10 91 69
10 15 66
10 55 46
10 33 48
10 30 75
10 51 96
10 87 27
11 59 99
11 67 6
11 4 81
11 17 48
11 48 42
11 73 24
11 75 60
11 53 37
11 41 65
11 70 76
12 44 99
12 79 17
12 52 64
12 54 39
12 19 36
12 78 60
12 86 82
12 74 12
12 15 6
12 30 5
13 93 85
13 70 73
13 28 57
13 33 75
13 40 74
13 91 76
13 2 6
13 65 82
13 66 92
13 72 86
14 0 3
14 43 61
14 32 78
14 91 23
14 86 57
14 2 96
14 69 5
14 63 39
14 86 87
14 18 81
15 79 64
15 46 11
15 67 81
15 40 2
15 45 93
15 16 42
15 5 76
15 2 95
15 60 24
15 93 53
16 62 68
16 60 25
16 78 97
16 39 35
16 95 46
16 92 70
16 56 52
16 24 31
16 3 53
16 12 81
17 31 83
17 16 76
17 96 80
17 4 16
17 91 89
17 34 9
17 83 55
17 53 3
17 89 27
17 15 27
18 77 7
18 31 75
18 44 8
18 58 33
18 69 5
18 49 48
18 61 87
18 96 59
18 14 1
18 10 75
19 18 51
19 90 34
19 88 86
19 68 22
19 90 63
19 30 15
19 21 37
19 3 81
19 50 61
19 18 21
20 49 98
20 24 61
20 43 22
20 6 37
20 79 7
20 80 28
20 24 56
20 38 29
20 72 6
20 59 14
21 42 90
21 32 100
21 1 1
21 25 89
21 88 64
21 26 38
21 17 19
21 97 96
21 27 51
21 25 86
22 61 85
22 0 10
22 1 3
22 65 20
22 86 7
22 76 1
22 92 65
22 97 53
22 48 75
22 59 14
23 61 65
23 68 62
23 80 43
23 4 82
23 96 26
23 19 35
23 93 9
23 89 65
23 54 83
23 31 14
24 85 40
24 5 89
24 1 12
24 45 78
24 3 43
24 96 79
24 19 34
24 84 55
24 9 61
24 73 60
25 40 24
25 72 91
25 51 61
25 59 49
25 35 97
25 33 79
25 11 10
25 64 24
25 0 24
25 54 33
26 33 33
26 51 14
26 82 75
26 97 78
26 50 12
26 90 32
26 0 36
26 17 93
26 91 61
26 66 19
27 63 34
27 90 46
27 5 37
27 77 13
27 51 98
27 20 34
27 62 70
27 77 81
27 39 77
27 49 80
28 13 37
28 32 83
28 82 29
28 46 24
28 74 57
28 47 83
28 0 93
28 50 95
28 9 75
28 42 47
29 85 10
29 27 32
29 91 98
29 80 32
29 10 68
29 45 86
29 39 62
29 1 99
29 5 19
29 95 23
30 1 86
30 76 91
30 90 36
30 93 25
30 55 53
30 31 32
30 66 19
30 19 5
30 0 16
30 43 36
31 89 2
31 14 67
31 51 37
31 44 23
31 9 28
31 71 78
31 42 13
31 79 58
31 28 17
31 59 7
32 89 47
32 26 100
32 13 15
32 54 78
32 52 68
32 23 63
32 1 65
32 13 55
32 84 66
32 21 79
33 25 27
33 3 47
33 2 91
33 38 95
33 88 56
33 95 78
33 77 39
33 38 51
33 77 64
33 23 34
34 13 68
34 48 37
34 29 78
34 96 7
34 42 45
34 12 90
34 1 87
34 48 54
34 99 52
34 36 72
35 46 79
35 94 95
35 97 89
35 36 64
35 73 72
35 97 72
35 92 28
35 95 23
35 27 13
35 92 79
36 82 66
36 91 84
36 50 95
36 78 3
36 72 61
36 26 64
36 71 37
36 49 51
36 2 99
36 84 30
37 41 40
37 80 3
37 79 50
37 3 1
37 52 73
37 5 93
37 74 77
37 65 66
37 97 19
37 75 59
38 25 2
38 73 9
38 14 85
38 4 88
38 80 88
38 51 7
38 8 29
38 78 59
38 9 65
38 79 61
39 81 47
39 53 16
39 52 73
39 8 20
39 15 87
39 12 47
39 60 28
39 29 62
39 12 35
39 0 72
40 17 17
40 51 69
40 45 61
40 66 48
40 26 50
40 29 77
40 16 37
40 70 98
40 42 54
40 7 88
41 93 38
41 87 60
41 79 56
41 49 67
41 33 40
41 55 50
41 59 11
41 69 78
41 52 67
41 75 22
42 15 82
42 5 56
42 34 17
42 56 64
42 7 36
42 38 43
42 57 91
42 96 29
42 57 63
42 57 31
43 97 74
43 17 19
43 65 42
43 59 60
43 30 45
43 48 99
43 58 54
43 72 34
43 20 36
43 0 38
44 11 59
44 53 79
44 96 17
44 23 43
44 20 27
44 68 33
44 61 77
44 33 99
44 66 19
44 62 15
45 13 3
45 29 2
45 97 52
45 78 75
45 0 19
45 90 29
45 26 62
45 54 2
45 78 44
45 99 53
46 50 4
46 18 24
46 43 88
46 38 33
46 31 32
46 0 60
46 75 13
46 33 67
46 82 15
46 78 4
47 7 83
47 78 59
47 36 9
47 71 46
47 2 35
47 48 87
47 26 81
47 49 7
47 71 59
47 64 32
48 77 98
48 60 65
48 21 47
48 16 81
48 66 6
48 75 11
48 40 100
48 69 42
48 75 34
48 15 75
49 48 93
49 64 23
49 14 100
49 94 43
49 3 82
49 42 12
49 39 23
49 45 86
49 16 25
49 27 17
50 54 92
50 94 81
50 19 95
50 94 52
50 3 60
50 35 54
50 0 50
50 41 60
50 3 89
50 94 56
51 39 23
51 24 16
51 12 91
51 27 62
51 84 93
51 60 64
51 58 47
51 66 96
51 59 9
51 1 79
52 48 92
52 24 19
52 75 40
52 75 72
52 28 99
52 69 14
52 62 88
52 36 24
52 12 23
52 92 17
53 57 36
53 28 78
53 63 69
53 76 10
53 49 38
53 73 46
53 11 76
53 61 74
53 61 87
53 50 35
54 11 83
54 49 8
54 68 24
54 69 62
54 49 47
54 83 65
54 73 82
54 47 94
54 69 95
54 84 100
55 29 3
55 48 8
55 90 36
55 15 59
55 78 37
55 67 36
55 46 100
55 12 42
55 63 77
55 16 30
56 43 89
56 58 64
56 23 13
56 58 45
56 83 99
56 99 89
56 69 87
56 72 54
56 87 12
56 33 41
57 94 36
57 97 79
57 25 79
57 46 28
57 79 86
57 71 2
57 23 31
57 66 81
57 87 67
57 86 100
58 64 28
58 83 50
58 32 65
58 72 44
58 0 82
58 41 50
58 4 64
58 71 76
58 3 30
58 26 27
59 22 97
59 8 90
59 96 3
59 0 75
59 91 58
59 13 68
59 23 7
59 50 36
59 40 88
59 37 15
60 25 4
60 17 28
60 76 3
60 92 5
60 11 80
60 3 55
60 42 47
60 70 48
60 99 37
60 1 11
61 20 25
61 28 5
61 98 11
61 63 88
61 92 84
61 7 78
61 20 26
61 10 66
61 79 66
61 49 55
62 64 57
62 36 8
62 96 27
62 82 96
62 19 77
62 76 94
62 43 96
62 79 54
62 73 39
62 38 67
63 37 76
63 9 49
63 84 56
63 92 71
63 42 61
63 79 7
63 47 60
63 44 99
63 36 100
63 87 60
64 27 19
64 34 99
64 74 29
64 12 20
64 70 15
64 85 20
64 35 8
64 55 26
64 55 14
64 0 91
65 66 71
65 70 28
65 90 58
65 7 90
65 55 63
65 7 58
65 52 48
65 59 25
65 35 3
65 15 74
66 71 15
66 81 53
66 69 37
66 20 68
66 8 81
66 8 100
66 54 76
66 82 8
66 52 75
66 67 25
67 56 61
67 47 61
67 77 88
67 2 17
67 74 61
67 95 73
67 42 87
67 11 93
67 91 48
67 76 97
68 60 26
68 58 80
68 98 63
68 56 8
68 33 23
68 53 82
68 61 84
68 93 57
68 58 99
68 93 19
69 45 66
69 80 11
69 8 40
69 60 49
69 95 89
69 10 78
69 96 1
69 14 14
69 60 82
69 49 56
70 16 65
70 76 11
70 33 86
70 48 18
70 4 89
70 63 27
70 76 20
70 24 18
70 34 61
70 94 50
71 34 27
71 35 8
71 20 17
71 23 47
71 31 36
71 25 49
71 85 60
71 64 87
71 34 99
71 44 60
72 85 68
72 48 85
72 86 44
72 75 62
72 79 95
72 68 27
72 86 19
72 66 56
72 73 44
72 73 52
73 52 15
73 55 96
73 72 25
73 84 15
73 24 25
73 74 93
73 10 20
73 74 61
73 92 62
73 2 44
74 75 64
74 97 43
74 77 71
74 30 73
74 0 37
74 32 28
74 20 47
74 17 50
74 61 79
74 75 49
75 18 49
75 68 27
75 18 18
75 84 24
75 73 73
75 96 96
75 42 95
75 22 22
75 78 60
75 35 18
76 25 15
76 79 72
76 40 32
76 18 65
76 74 77
76 64 13
76 72 81
76 39 70
76 55 28
76 79 18
77 13 53
77 28 33
77 9 95
77 61 40
77 40 84
77 15 5
77 36 97
77 71 72
77 59 3
77 89 79
78 81 88
78 18 34
78 5 5
78 12 76
78 59 99
78 89 80
78 13 22
78 7 44
78 48 47
78 11 7
79 21 56
79 88 22
79 67 67
79 10 42
79 68 14
79 88 52
79 69 88
79 67 55
79 22 32
79 44 36
80 8 8
80 88 69
80 54 35
80 66 85
80 67 91
80 78 61
80 82 89
80 25 79
80 33 88
80 38 10
81 3 62
81 75 10
81 88 38
81 35 70
81 63 35
81 85 33
81 19 2
81 82 27
81 96 18
81 97 30
82 78 32
82 12 17
82 31 91
82 29 55
82 4 20
82 8 53
82 83 17
82 77 44
82 97 70
82 5 37
83 18 36
83 10 62
83 94 40
83 62 90
83 11 50
83 54 52
83 66 9
83 9 30
83 48 88
83 28 99
84 67 47
84 99 71
84 90 72
84 8 26
84 93 50
84 64 32
84 14 97
84 80 9
84 37 24
84 54 96
85 21 1
85 16 67
85 88 88
85 46 24
85 24 75
85 31 40
85 2 48
85 89 89
85 24 28
85 96 47
86 35 44
86 63 66
86 56 44
86 60 77
86 37 62
86 83 23
86 89 49
86 58 25
86 73 13
86 27 96
87 82 81
87 90 48
87 72 60
87 53 72
87 99 19
87 66 16
87 38 15
87 71 69
87 74 82
87 88 51
88 70 35
88 52 36
88 33 42
88 44 13
88 67 55
88 16 53
88 19 54
88 36 23
88 5 22
88 8 47
89 36 28
89 33 38
89 4 24
89 44 58
89 92 27
89 90 86
89 70 78
89 84 100
89 10 97
89 43 27
90 79 15
90 98 3
90 91 29
90 28 78
90 40 43
90 41 84
90 8 48
90 38 2
90 52 9
90 43 31
91 44 89
91 21 75
91 2 56
91 2 2
91 30 14
91 33 52
91 43 31
91 72 88
91 17 77
91 6 36
92 57 59
92 18 87
92 78 59
92 12 21
92 25 48
92 37 4
92 38 87
92 25 75
92 7 50
92 70 92
93 48 46
93 33 31
93 12 22
93 29 27
93 54 26
93 21 42
93 98 23
93 34 78
93 7 17
93 38 78
94 68 97
94 71 59
94 25 41
94 77 49
94 1 1
94 36 70
94 99 23
94 23 45
94 30 38
94 79 64
95 22 25
95 21 43
95 89 51
95 72 78
95 93 96
95 34 14
95 5 14
95 39 34
95 37 36
95 97 25
96 62 35
96 26 90
96 41 57
96 3 32
96 18 79
96 22 38
96 36 75
96 48 27
96 84 24
96 49 74
97 50 11
97 41 41
97 12 15
97 2 41
97 80 31
97 37 69
97 7 15
97 72 61
97 14 4
97 12 14
98 78 13
98 0 37
98 29 48
98 52 71
98 16 69
98 82 41
98 58 93
98 10 60
98 16 3
98 10 91
99 24 18
99 81 40
99 43 42
99 49 11
99 56 4
99 92 72
99 33 65
99 81 45
99 23 9
99 78 37
